,G1,G10,G15,G23,G25,G37,G38,G44,G45,G54,G55,G57,G62,G63,G64,G65,G66,G67,G69,G72,G73,G75,G82,G85,G87,G92,G99,G5,G26,G36,G40,G42,G43,G46,G83,G90,G91,G93,G96,G98,G100,G2,G3,G4,G6,G7,G8,G9,G11,G12,G13,G14,G16,G17,G18,G19,G20,G21,G22,G24,G27,G28,G29,G30,G31,G32,G33,G34,G35,G39,G41,G47,G48,G49,G50,G51,G52,G53,G56,G58,G59,G60,G61,G68,G70,G71,G74,G76,G77,G78,G79,G80,G81,G84,G86,G88,G89,G94,G95,G97,y_G9
10,0.1097646,0.5176567,0.009345,0.1459757,0.0959283,0.6100683,0.0818648,0.5320892,0.7321036,0.2903303,0.4373473,0.2968069,0.2709562,0.665276,0.3880858,0.6221748,0.2343125,0.3351682,0.5523702,0.0275053,0.0689468,0.3820198,0.0862313,0.5991911,0.1301016,0.4516424,0.5809193,0.5665663,0.6981897,0.598375,0.5940272,0.6336766,0.5637145,0.6339174,0.5754325,0.5404974,0.6604379,0.7347755,0.6366387,0.7451444,0.5349741,0.2740755,0.430885,0.3194662,0.0295504,0.6063724,0.4084035,0.0,0.0,0.3800081,0.0728221,0.0112349,0.1140325,0.4172682,0.4104522,0.0510738,0.0047151,0.0353293,0.163959,0.1616758,0.5178488,0.3170498,0.2724069,0.4360642,0.2427674,0.0061397,0.1832018,0.1329919,0.7567617,0.0545553,0.0468671,0.6086672,0.4993002,0.3798913,0.1131065,0.6404347,0.7650468,0.4926469,0.4084003,0.2952264,0.0987687,0.2257527,0.0268373,0.4417164,0.0167032,0.1495124,0.0626855,0.5775847,0.0101875,0.129865,0.1383138,0.0238468,0.4276324,0.1248635,0.2476065,0.085137,0.0643541,0.4404811,0.4133933,0.2317683,0.0122488
11,0.1488869,0.4459489,0.0007545,0.1174282,0.1292302,0.6004212,0.1023466,0.5824771,0.6605251,0.2033919,0.5402469,0.1736987,0.3524609,0.6472501,0.4288134,0.3912441,0.3384187,0.3890603,0.4311097,0.0201848,0.0622039,0.3601602,0.1033264,0.5460024,0.1157718,0.2972754,0.5352792,0.598806,0.6484316,0.5740911,0.6618426,0.6343351,0.7249059,0.6222219,0.6574265,0.6831778,0.7069748,0.611535,0.7224298,0.65654,0.6389956,0.3003248,0.5118974,0.3678123,0.0375756,0.6203947,0.3698664,0.0,0.0290436,0.0,0.0587661,0.0213706,0.1052824,0.3638761,0.4228281,0.0478077,0.00086,0.0547916,0.1224451,0.073181,0.5265209,0.3206816,0.2378861,0.3545719,0.2169557,0.0221647,0.2124363,0.1230191,0.6229976,0.0955005,0.0501441,0.5706175,0.5599558,0.4226553,0.2103702,0.4627525,0.6656117,0.5182685,0.3411436,0.192233,0.0844405,0.2079187,0.0133169,0.4399663,0.0272571,0.1492343,0.0429728,0.7739993,0.0387924,0.0982732,0.1507265,0.0499367,0.3242271,0.1239744,0.2538542,0.1041944,0.0628117,0.3611348,0.4981309,0.23089,0.017063
12,0.1787071,0.5117819,0.0134579,0.1710108,0.1418058,0.6771769,0.0774489,0.4176384,0.7051753,0.161048,0.4811097,0.2641484,0.3472999,0.5862774,0.5175013,0.4030118,0.5124468,0.4103943,0.534977,0.0211006,0.0544706,0.3136338,0.1177335,0.6086729,0.1823794,0.4270106,0.5370413,0.6651548,0.6578114,0.5840236,0.6357241,0.6426363,0.6359861,0.5812106,0.6272714,0.6397178,0.5578558,0.6103628,0.6048457,0.6950472,0.6212572,0.2923465,0.4622324,0.4066468,0.0235096,0.5982513,0.4125871,0.0,0.0061817,0.3571451,0.0,0.0303977,0.0756561,0.3298627,0.5630073,0.050831,0.0052139,0.0226656,0.1994238,0.1459006,0.4919857,0.3290297,0.2052143,0.3982513,0.2346091,0.0126986,0.2169948,0.1254153,0.597048,0.0403357,0.0305242,0.6830568,0.6498042,0.3438675,0.1639488,0.6369747,0.5934325,0.380802,0.3804693,0.2440592,0.0997014,0.2780019,0.0269588,0.5368938,0.018133,0.1686877,0.0488952,0.6346366,0.0055199,0.0811108,0.2024636,0.0250281,0.2812884,0.1795051,0.1739581,0.0633783,0.0577754,0.5026338,0.474813,0.2644292,0.0224611
13,0.1359591,0.4452553,0.0040795,0.0382658,0.1042987,0.5954582,0.114758,0.4831422,0.7389776,0.3584931,0.4868025,0.2568136,0.3022741,0.7334097,0.3675343,0.4313063,0.3243476,0.2932184,0.4607679,0.0074615,0.0230287,0.4371609,0.0699148,0.5832771,0.177841,0.3952729,0.5325845,0.5818308,0.5941555,0.6493276,0.6005823,0.7517221,0.6159334,0.5560001,0.6269475,0.6416977,0.6025802,0.6309644,0.7241925,0.6414059,0.6018848,0.1827996,0.5137942,0.3021666,0.0371253,0.6913654,0.3688256,0.0,0.0209273,0.36524,0.0373817,0.0,0.131603,0.3360731,0.5645902,0.0553736,0.0084787,0.0716153,0.1613051,0.0951279,0.4546042,0.3793568,0.1801951,0.5498563,0.1712091,0.0202854,0.2262064,0.1021565,0.6306439,0.0584332,0.055116,0.5195487,0.4729016,0.3899954,0.1934938,0.5897924,0.7710744,0.487502,0.3306016,0.1897208,0.0970971,0.2529882,0.0266261,0.4766865,0.0121148,0.2146161,0.0810663,0.6803475,0.0276487,0.1293556,0.1659162,0.0246709,0.3559064,0.1934211,0.1430606,0.0658797,0.0209093,0.5042678,0.4684867,0.3632176,0.0083952
14,0.1469732,0.4719672,0.0,0.0502955,0.1423606,0.6419869,0.1314757,0.5035667,0.5778598,0.2053604,0.4187027,0.2711673,0.2975483,0.5274959,0.4829126,0.4696902,0.357718,0.3916605,0.3987687,0.0354749,0.061191,0.4104952,0.0875287,0.6519413,0.0940521,0.3885729,0.6097905,0.5578512,0.5016275,0.5915595,0.6469037,0.7893027,0.5378837,0.5718079,0.6425455,0.5994697,0.651099,0.564016,0.686959,0.5753433,0.5141801,0.2651258,0.4402493,0.31373,0.0427758,0.7238258,0.4485421,0.0,0.0271618,0.4224165,0.040654,0.0259288,0.0864565,0.3819094,0.5129378,0.0610167,0.0009315,0.0364022,0.1521839,0.1074919,0.4878417,0.3761504,0.1950757,0.525423,0.1576972,0.0197313,0.2274426,0.1112806,0.5866928,0.0581681,0.0287639,0.5065531,0.561731,0.3706405,0.2049497,0.5421328,0.6103277,0.3766724,0.3476712,0.2063402,0.0723053,0.2931373,0.0160513,0.3272591,0.0122085,0.1424717,0.0784608,0.5540768,0.0049463,0.1261829,0.1371666,0.0232054,0.3647683,0.1490056,0.1967669,0.0898168,0.0451712,0.4866302,0.4020817,0.2342822,0.03023
15,0.1326039,0.4380931,0.0047183,0.1684729,0.1505017,0.6331153,0.0784864,0.44398,0.6307836,0.2775636,0.473966,0.2649676,0.2770799,0.6981689,0.5048967,0.5055259,0.3294886,0.3530157,0.3103407,0.0215899,0.0608064,0.456292,0.096824,0.5212059,0.1998566,0.4962905,0.488142,0.6655012,0.5930816,0.6678865,0.6576896,0.6023752,0.6328857,0.7592034,0.6080661,0.6154411,0.4948531,0.6159567,0.5613445,0.6884017,0.6394224,0.2193662,0.5652571,0.4753314,0.0461061,0.6153746,0.4090796,0.0,0.0092649,0.4154907,0.0165413,0.0176282,0.0,0.298454,0.4719989,0.0499787,0.0145675,0.0362724,0.1330331,0.1817258,0.4465775,0.2931989,0.2147058,0.474683,0.1926835,0.032122,0.2278133,0.1091179,0.6623244,0.0485108,0.0630358,0.5477346,0.5685231,0.3808407,0.1543094,0.6223403,0.5042665,0.3540316,0.4293977,0.2055971,0.0778216,0.1957467,0.0049377,0.3429256,0.0258645,0.1791579,0.0641685,0.8060714,0.0221389,0.0736578,0.1210105,0.0512327,0.3119622,0.208952,0.167868,0.0637385,0.0257254,0.4456208,0.4575987,0.2263532,0.0280911
16,0.1002457,0.5418669,0.0026085,0.1101948,0.1154878,0.6239607,0.0801391,0.5339635,0.5930428,0.2907897,0.5381492,0.2477451,0.2948644,0.7650476,0.4121201,0.5067952,0.246218,0.4019921,0.5100167,0.0102558,0.0366738,0.4301036,0.1103135,0.5532234,0.182742,0.4259285,0.5286782,0.6998862,0.6947449,0.5454852,0.8003348,0.5618077,0.6411789,0.5138264,0.5330811,0.5180854,0.5797771,0.7164394,0.6585447,0.6117737,0.5966064,0.1705391,0.5565481,0.3182189,0.0379994,0.6708233,0.4171637,0.0,0.0323104,0.4247278,0.024701,0.0156498,0.1394367,0.3302126,0.0,0.0762016,0.0018333,0.0308047,0.1747834,0.2277162,0.5657908,0.291218,0.2373193,0.4494592,0.175563,0.0132351,0.1917748,0.1117575,0.5670476,0.0358685,0.0302099,0.5157599,0.5206133,0.4144505,0.1124522,0.6387457,0.651856,0.3499829,0.255236,0.2315749,0.0527067,0.2459754,0.0290451,0.4845252,0.0119159,0.1496297,0.0607675,0.6010914,0.0055732,0.1297037,0.1815509,0.0246163,0.4932472,0.1102372,0.1629913,0.0537188,0.0387425,0.4295629,0.4497495,0.3242284,0.0136981
17,0.1737404,0.468768,0.0149428,0.068691,0.1159709,0.4956517,0.1095835,0.4532749,0.653639,0.2611212,0.5096676,0.3255038,0.2393066,0.6220593,0.504613,0.4811045,0.3669551,0.4205699,0.4121105,0.0216136,0.0478442,0.3683143,0.1192824,0.5355921,0.1050758,0.3974191,0.5260523,0.5544916,0.582514,0.5322046,0.6283753,0.6833524,0.5878441,0.6852211,0.6192952,0.5718754,0.6125083,0.6048745,0.5633456,0.6751394,0.541576,0.1737042,0.5032523,0.365251,0.0597255,0.6713464,0.3985619,0.0,0.0286781,0.3058524,0.034295,0.0194866,0.1051042,0.3178872,0.564562,0.0,0.0016122,0.0174873,0.2145485,0.0895475,0.5318245,0.3143446,0.1782863,0.5441952,0.1585308,0.0402809,0.1519631,0.109926,0.5943134,0.0482372,0.0264491,0.6264181,0.5129318,0.3198202,0.1915242,0.6632616,0.6749182,0.3566975,0.2909532,0.2360119,0.1154814,0.2229429,0.0422778,0.3646748,0.0249201,0.1528087,0.0686075,0.5949563,0.0330997,0.1157107,0.1946083,0.0342094,0.3446835,0.2103002,0.2241059,0.0375894,0.0369621,0.4478744,0.5283023,0.2835905,0.0096134
18,0.1632499,0.3972125,0.0041423,0.0623689,0.0615615,0.5705031,0.1326813,0.4875648,0.6420246,0.2115691,0.5037623,0.262803,0.2279816,0.5046727,0.4451646,0.4332903,0.3211197,0.3111524,0.4458565,0.0077037,0.0593812,0.430618,0.1188622,0.5764805,0.1487274,0.3711139,0.5069111,0.6457013,0.6338641,0.6263056,0.6771771,0.6875293,0.6130209,0.6681557,0.5889421,0.7241992,0.6624209,0.5139562,0.6760861,0.5352719,0.6886814,0.2552545,0.5281497,0.2703672,0.0473725,0.703432,0.4493403,0.0,0.0290944,0.3488248,0.0596249,0.0118751,0.0837202,0.3190771,0.4564384,0.0368737,0.0034504,0.0,0.2159052,0.1085391,0.5292731,0.3197874,0.1492565,0.4564334,0.2127725,0.0084283,0.1692633,0.1522017,0.7445202,0.0433022,0.0839801,0.6690251,0.6646783,0.4409068,0.1773935,0.5948197,0.7966333,0.5288148,0.3217104,0.2264545,0.121434,0.2405968,0.0206392,0.3918897,0.0187863,0.125535,0.1010186,0.5889424,0.0140376,0.0917097,0.1622654,0.0376273,0.3105913,0.1526715,0.1749174,0.1054009,0.0282744,0.43828,0.4517154,0.2631929,0.0172221
19,0.0765289,0.4979996,0.0071154,0.0769902,0.1786698,0.7082665,0.0873394,0.4962777,0.7140021,0.222161,0.4149578,0.2549014,0.2405155,0.6066484,0.4499393,0.50605,0.3550755,0.331713,0.4865888,0.0186783,0.065766,0.4457556,0.0948001,0.6591238,0.1520888,0.4272022,0.535598,0.6603883,0.6069039,0.6575069,0.7197714,0.654373,0.5187438,0.6730267,0.5501539,0.6006895,0.7270409,0.5936881,0.6813034,0.6780378,0.6195493,0.2129481,0.6000154,0.2752249,0.0305134,0.5125263,0.4910578,0.0,0.0240644,0.3655056,0.0501752,0.0159249,0.1137691,0.3044306,0.4891667,0.0774271,0.0022069,0.0498685,0.0,0.0973328,0.519154,0.404591,0.1867784,0.3988832,0.1926062,0.0219182,0.2072892,0.1382925,0.4612114,0.0619874,0.038161,0.6019771,0.6116898,0.3903936,0.1990595,0.5792411,0.7069785,0.434726,0.302776,0.2085472,0.0997507,0.2001034,0.0157811,0.4412214,0.0169036,0.12355,0.0932079,0.6004337,0.0237607,0.1153865,0.1142262,0.0354939,0.4025142,0.2231552,0.1801694,0.1202393,0.0505761,0.5482122,0.4838612,0.2747505,0.0093131
20,0.1438789,0.5807692,0.0048208,0.1287531,0.1585199,0.6341819,0.1175674,0.5434078,0.618749,0.1804211,0.5240255,0.2898452,0.2144321,0.691652,0.5187578,0.3511976,0.3075767,0.442088,0.4431505,0.0095482,0.0343062,0.3758271,0.120538,0.5460932,0.1404809,0.4790548,0.601869,0.657185,0.7002692,0.594319,0.6957154,0.6934425,0.6529502,0.6884115,0.7265377,0.6349024,0.6329415,0.5598691,0.7066228,0.6619852,0.6540345,0.2475129,0.5180732,0.3110247,0.0683508,0.7187597,0.3876373,0.0,0.0305224,0.3276637,0.0525713,0.0419575,0.112461,0.2892489,0.5125203,0.0703501,0.0054714,0.042419,0.2212545,0.0,0.502464,0.3516015,0.1855441,0.4469825,0.1771069,0.0128582,0.1609063,0.0618454,0.7134459,0.0739584,0.0370284,0.5397557,0.5455939,0.4030125,0.1167898,0.5750701,0.644215,0.3832728,0.3898751,0.2832113,0.0794348,0.1652671,0.0242974,0.4490862,0.0077829,0.1853284,0.0679306,0.496371,0.0239841,0.0745863,0.1406981,0.0310651,0.4039942,0.1564824,0.2040034,0.0600785,0.0304065,0.4351788,0.4408687,0.1968664,0.0307513
21,0.1406035,0.4412131,0.0108208,0.1891981,0.0,0.6389903,0.1191731,0.5649634,0.5669954,0.2308699,0.5907128,0.3002672,0.2502427,0.6350267,0.4398617,0.5186249,0.2953116,0.4214615,0.3888508,0.0131355,0.0544399,0.3794398,0.1179934,0.4993552,0.1742691,0.3458874,0.5587414,0.5769462,0.5365716,0.699531,0.6361537,0.5098567,0.5285369,0.6347083,0.5628799,0.7013387,0.5926019,0.7704424,0.5955022,0.5930611,0.7019615,0.1993051,0.4474347,0.3160146,0.0443011,0.0095979,0.4155072,0.0,0.0305265,0.3870375,0.0275686,0.0106089,0.0671402,0.3606273,0.5266555,0.0771987,0.0033028,0.0294788,0.1661878,0.0938819,0.4468787,0.3096512,0.1935471,0.3447488,0.2675433,0.0167267,0.3057338,0.0882864,0.5939437,0.0593344,0.0263124,0.6009655,0.6431645,0.3926456,0.1367232,0.7220126,0.6573286,0.3675786,0.3301926,0.1806605,0.0821253,0.2336677,0.0144995,0.4609667,0.0299386,0.1325933,0.0859713,0.6088401,0.0280776,0.0956082,0.189998,0.0168095,0.432806,0.202068,0.1699285,0.062861,0.0321329,0.3755417,0.475818,0.26222,0.0168777
